driverId,year,points,wins,age,normalized_points,races_in_season,points_per_race,normalized_points_per_race,age_group
1,2007,109.0,4,21.982203969883642,10.9,17,6.411764705882353,0.6411764705882353,<25
1,2008,98.0,5,22.981519507186857,9.8,18,5.444444444444445,0.5444444444444445,<25
1,2009,49.0,2,23.983572895277206,4.9,17,2.8823529411764706,0.2882352941176471,<25
1,2010,240.0,3,24.982888432580424,9.6,19,12.631578947368421,0.5052631578947369,<25
1,2011,227.0,3,25.982203969883642,9.08,19,11.947368421052632,0.47789473684210526,25–30
1,2012,190.0,4,26.981519507186857,7.6,20,9.5,0.38,25–30
1,2013,189.0,1,27.983572895277206,7.56,19,9.947368421052632,0.39789473684210525,25–30
1,2014,384.0,11,28.982888432580424,15.36,19,20.210526315789473,0.8084210526315789,25–30
1,2015,381.0,10,29.982203969883646,15.24,19,20.05263157894737,0.8021052631578948,25–30
1,2016,380.0,10,30.981519507186857,15.2,21,18.095238095238095,0.7238095238095238,30–35
1,2017,363.0,9,31.983572895277206,14.52,20,18.15,0.726,30–35
1,2018,408.0,11,32.982888432580424,16.32,21,19.428571428571427,0.7771428571428571,30–35
1,2019,413.0,11,33.98220396988364,16.52,21,19.666666666666668,0.7866666666666666,30–35
1,2020,347.0,11,34.98151950718686,13.88,17,20.41176470588235,0.8164705882352942,30–35
1,2021,385.5,8,35.983572895277206,15.42,22,17.522727272727273,0.7009090909090909,35–40
1,2022,233.0,0,36.982888432580424,9.32,22,10.590909090909092,0.42363636363636364,35–40
1,2023,217.0,0,37.98220396988364,8.68,22,9.863636363636363,0.39454545454545453,35–40
1,2024,207.0,2,38.98151950718686,8.28,24,8.625,0.345,35–40
2,2000,0.0,0,22.64476386036961,0.0,17,0.0,0.0,<25
2,2001,12.0,0,23.64681724845996,1.2,17,0.7058823529411765,0.07058823529411765,<25
2,2002,7.0,0,24.646132785763175,0.7,17,0.4117647058823529,0.041176470588235294,<25
2,2003,6.0,0,25.645448323066393,0.6,16,0.375,0.0375,25–30
2,2004,3.0,0,26.64476386036961,0.3,18,0.16666666666666666,0.016666666666666666,25–30
2,2005,28.0,0,27.64681724845996,2.8,19,1.4736842105263157,0.14736842105263157,25–30
2,2006,23.0,0,28.646132785763175,2.3,18,1.2777777777777777,0.12777777777777777,25–30
2,2007,61.0,0,29.645448323066393,6.1,17,3.588235294117647,0.3588235294117647,25–30
2,2008,60.0,0,30.644763860369615,6.0,18,3.3333333333333335,0.3333333333333333,30–35
2,2009,19.0,0,31.646817248459957,1.9,17,1.1176470588235294,0.11176470588235293,30–35
2,2010,6.0,0,32.64613278576318,0.24,19,0.3157894736842105,0.01263157894736842,30–35
2,2011,34.0,0,33.64544832306639,1.36,19,1.7894736842105263,0.07157894736842106,30–35
3,2006,4.0,0,20.514715947980836,0.4,18,0.2222222222222222,0.022222222222222223,<25
3,2007,20.0,0,21.51403148528405,2.0,17,1.1764705882352942,0.11764705882352941,<25
3,2008,17.0,0,22.51334702258727,1.7,18,0.9444444444444444,0.09444444444444444,<25
3,2009,34.5,0,23.515400410677618,3.45,17,2.0294117647058822,0.20294117647058824,<25
3,2010,142.0,0,24.514715947980836,5.68,19,7.473684210526316,0.29894736842105263,<25
3,2011,89.0,0,25.51403148528405,3.56,19,4.684210526315789,0.18736842105263157,25–30
3,2012,93.0,1,26.513347022587265,3.72,20,4.65,0.186,25–30
3,2013,171.0,2,27.515400410677618,6.84,19,9.0,0.36,25–30
3,2014,317.0,5,28.514715947980836,12.68,19,16.68421052631579,0.6673684210526316,25–30
3,2015,322.0,6,29.51403148528405,12.88,19,16.94736842105263,0.6778947368421053,25–30
3,2016,385.0,9,30.513347022587272,15.4,21,18.333333333333332,0.7333333333333334,30–35
4,2001,0.0,0,19.42778918548939,0.0,17,0.0,0.0,<25
4,2003,55.0,1,21.426420260095824,5.5,16,3.4375,0.34375,<25
4,2004,59.0,0,22.425735797399042,5.9,18,3.2777777777777777,0.3277777777777778,<25
4,2005,133.0,7,23.42778918548939,13.3,19,7.0,0.7000000000000001,<25
4,2006,134.0,7,24.427104722792606,13.4,18,7.444444444444445,0.7444444444444445,<25
4,2007,109.0,4,25.426420260095824,10.9,17,6.411764705882353,0.6411764705882353,25–30
4,2008,61.0,2,26.425735797399042,6.1,18,3.388888888888889,0.33888888888888885,25–30
4,2009,26.0,0,27.42778918548939,2.6,17,1.5294117647058822,0.15294117647058825,25–30
4,2010,252.0,5,28.427104722792603,10.08,19,13.263157894736842,0.5305263157894737,25–30
4,2011,257.0,1,29.426420260095824,10.28,19,13.526315789473685,0.5410526315789473,25–30
4,2012,278.0,3,30.425735797399046,11.12,20,13.9,0.5559999999999999,30–35
4,2013,242.0,2,31.427789185489388,9.68,19,12.736842105263158,0.5094736842105263,30–35
4,2014,161.0,0,32.427104722792606,6.44,19,8.473684210526315,0.33894736842105266,30–35
4,2015,11.0,0,33.426420260095824,0.44,19,0.5789473684210527,0.023157894736842106,30–35
4,2016,54.0,0,34.42573579739904,2.16,21,2.5714285714285716,0.10285714285714287,30–35
4,2017,17.0,0,35.42778918548939,0.68,20,0.85,0.034,35–40
4,2018,50.0,0,36.427104722792606,2.0,21,2.380952380952381,0.09523809523809523,35–40
4,2021,81.0,0,39.42778918548939,3.24,22,3.6818181818181817,0.14727272727272728,35–40
4,2022,81.0,0,40.427104722792606,3.24,22,3.6818181818181817,0.14727272727272728,40+
4,2023,198.0,0,41.426420260095824,7.92,22,9.0,0.36,40+
4,2024,70.0,0,42.42573579739904,2.8,24,2.9166666666666665,0.11666666666666665,40+
5,2007,30.0,0,25.201916495550993,3.0,17,1.7647058823529411,0.17647058823529413,25–30
5,2008,53.0,1,26.20123203285421,5.3,18,2.9444444444444446,0.29444444444444445,25–30
5,2009,22.0,0,27.20328542094456,2.2,17,1.2941176470588236,0.12941176470588237,25–30
5,2010,0.0,0,28.202600958247775,0.0,19,0.0,0.0,25–30
5,2011,0.0,0,29.201916495550993,0.0,19,0.0,0.0,25–30
5,2012,0.0,0,30.20123203285421,0.0,20,0.0,0.0,30–35
5,2013,0.0,0,31.20328542094456,0.0,19,0.0,0.0,30–35
6,2007,0.0,0,21.971252566735114,0.0,17,0.0,0.0,<25
6,2008,9.0,0,22.97056810403833,0.9,18,0.5,0.05,<25
6,2009,0.0,0,23.972621492128678,0.0,17,0.0,0.0,<25
7,2008,4.0,0,28.84052019164956,0.4,18,0.2222222222222222,0.022222222222222223,25–30
7,2009,2.0,0,29.842573579739906,0.2,17,0.11764705882352941,0.011764705882352941,25–30
8,2001,9.0,0,21.21013004791239,0.9,17,0.5294117647058824,0.052941176470588235,<25
8,2002,24.0,0,22.209445585215605,2.4,17,1.411764705882353,0.1411764705882353,<25
8,2003,91.0,1,23.208761122518823,9.1,16,5.6875,0.56875,<25
8,2004,45.0,1,24.20807665982204,4.5,18,2.5,0.25,<25
8,2005,112.0,7,25.21013004791239,11.2,19,5.894736842105263,0.5894736842105263,25–30
8,2006,65.0,0,26.209445585215605,6.5,18,3.611111111111111,0.3611111111111111,25–30
8,2007,110.0,6,27.208761122518823,11.0,17,6.470588235294118,0.6470588235294118,25–30
8,2008,75.0,2,28.20807665982204,7.5,18,4.166666666666667,0.4166666666666667,25–30
8,2009,48.0,1,29.21013004791239,4.8,17,2.823529411764706,0.2823529411764706,25–30
8,2012,207.0,1,32.20807665982204,8.28,20,10.35,0.414,30–35
8,2013,183.0,1,33.210130047912386,7.32,19,9.631578947368421,0.38526315789473686,30–35
8,2014,55.0,0,34.209445585215605,2.2,19,2.8947368421052633,0.11578947368421054,30–35
8,2015,150.0,0,35.20876112251882,6.0,19,7.894736842105263,0.3157894736842105,35–40
8,2016,186.0,0,36.20807665982204,7.44,21,8.857142857142858,0.3542857142857143,35–40
8,2017,205.0,0,37.210130047912386,8.2,20,10.25,0.41,35–40
